"","typ","typology","hhID","district","Variety","cc.catg.str","years_since_planted","cc.production.cycle","cm.plot.monocrop.bool","cc_yield_fn_Mg_per_ha","yld_pc_attain_plot","weeds_per_year","prunes_per_year","fert_bool","fungi.app.cocoa","insecti.app.cocoa","herbi.app.cocoa","pollination.bool","ccoa_spread_pods","ccoa_piled_pods","ccoa_passive_pods","ccoa_apply_mnr_farm","ccoa_apply_mnr_bought","ccoa_apply_mnr_anywhere","ccoa_apply_cmp","tree.count.per.ha","tree.config.cocoa","plot.overstory.crown","other.tree.to.cm.tree.ratio","shade.tree.to.cm.tree.ratio","plot.quant.shade.trees.ha","plot.quant.large.shade.trees.ha","num_other_tree_crops","num_other_root_grain_crops","plot.quant.trees.per.ha.greater.than.50.m","plot.quant.trees.per.ha.greater.than.35.m","plot.quant.trees.per.ha.greater.than.20.m","detect.bool.blackpod","detect.bool.capsid","detect.bool.stemborer","detect.bool.rodents","detect.bool.CSSVD","detect.bool.stemcanker","detect.bool.other","path.contr.cc.vir.org","path.contr.cc.bact.org","path.contr.cc.fung.org","path.contr.cc.insect.org","path.contr.cc.vir.syn","path.contr.cc.bact.syn","path.contr.cc.fung.syn","path.contr.cc.insect.syn","path.contr.tot.org","path.contr.tot.syn","frac.tot.paths.controlled.syn","frac.tot.paths.controlled.org","quant.paths","quant.paths.fungal","quant.paths.viral","quant.paths.bacterial","quant.paths.insect","total_N_fert_applied_Mg_per_ha","total_non_N_fert_applied_Mg_per_ha","total_fert_applied_Mg_per_ha","total.hi.labor.days.per.year.per.ha","domn_soil","water.log.bool","water.logged","Elevation.m.asl","Temperature","Rainfall","Temp.mean.max.month","Rainfall.cv"
"4",1,"Amazonia","v36_4",1,"Amazonia","Amazonia",17,30,0,0.373919286,33.5353581046122,3.5,1,1,1,1,1,0,0,1,0,0,0,0,0,988.79,1,35,0.0224719101123595,0.0168539325842697,16.665,12.49875,2,0,11.11,0,22.22,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0.3706575,0.3706575,0,2,0,1,161,26,30,32.2999992370605,47.6695556640625
"5",2,"Amazonia","v36_5",1,"Amazonia","Amazonia",22,30,1,0.539034847,40.2381028215037,1.5,2,1,1,1,1,0,0,1,0,0,0,0,0,1210.99,1,25,0.0275229357798165,0.0206422018348624,24.9975,18.748125,0,0,22.22,0,33.33,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,2,1,0,1,0,1,1,0,0.3706575,0,0.3706575,0,1,0,1,161,26,30,32.2999992370605,47.6695556640625
"7",1,"Hybrid sun","v36_7",1,"Hybrid","Hybrid sun",10,24,1,0.165758034,6.73169959410644,1.5,1,0,0,1,1,0,0,0,0,0,0,0,0,877.69,3,35,0.126582278481013,0,0,0,0,0,0,11.11,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,142.33248,5,1,3,161,26,30,32.2999992370605,47.6695556640625
"8",1,"Hybrid sun","v36_8",1,"Hybrid","Hybrid sun",10,24,0,0.124639762,5.06182062502577,1.5,2,0,0,1,1,0,0,0,0,0,0,0,0,1333.2,3,5,0.00833333333333333,0.00555555555555556,7.40666666666667,0,2,0,0,22.22,11.11,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,474.4416,4,0,1,161,26,30,32.2999992370605,47.6695556640625
"9",1,"Hybrid sun","v36_9",1,"Hybrid","Hybrid sun",12,24,0,0.371991867,14.1548137052904,1.5,1,0,0,1,1,0,0,1,0,0,0,0,0,1111,3,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,3,0,1,161,26,30,32.2999992370605,47.6695556640625
"10",2,"Amazonia","v36_10",1,"Amazonia","Amazonia",26,30,0,0.289755323,21.7884803174027,1.5,1,0,1,1,1,0,0,1,0,0,0,0,0,988.79,1,35,0.0449438202247191,0.0299625468164794,29.6266666666667,19.7511111111111,2,0,0,0,44.44,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,1,0,1,1,0,0,0,0,0,3,0,1,161,26,30,32.2999992370605,47.6695556640625
"13",1,"Hybrid sun","v36_13",1,"Hybrid","Hybrid sun",20,24,1,0.371991867,30.7591395938328,1.5,2,0,0,1,0,0,0,0,0,0,0,0,0,1599.84,3,5,0.0138888888888889,0.00694444444444444,11.11,5.555,0,0,0,0,22.22,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,2,0,1,161,26,30,32.2999992370605,47.6695556640625
"14",1,"Hybrid shade","v36_14",1,"Hybrid","Hybrid shade",12,24,0,0.289755323,15.0497163255159,3.5,1,1,1,1,1,0,0,1,1,0,0,0,0,1166.55,1,25,0.019047619047619,0.0142857142857143,16.665,12.49875,1,1,11.11,0,22.22,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,1,0,1,1,0,0.3706575,0,0.3706575,0,2,0,1,167,25.8999996185303,30,32.2999992370605,47.4785766601562
"15",1,"Hybrid sun","v36_15",1,"Hybrid","Hybrid sun",9,24,0,0.454870884,20.414548477391,3.5,1,1,1,1,1,0,0,1,1,0,0,0,0,1111,3,25,0.01,0.00666666666666667,7.40666666666667,0,1,1,11.11,0,11.11,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,1,0,1,1,0,0,0.3706575,0.3706575,0,3,1,3,167,25.8999996185303,30,32.2999992370605,47.4785766601562
"16",2,"Hybrid sun","v36_16",1,"Hybrid","Hybrid sun",13,24,0,0.289755323,11.2505494948323,1.5,1,0,1,1,1,0,0,1,1,0,0,0,0,1088.78,1,15,0.0204081632653061,0.0102040816326531,11.11,11.11,1,1,22.22,0,11.11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,2,1,2,161,26,30,32.2999992370605,47.6695556640625
