"","Altitude","Max temp","Rainfall","Water logging"
"","198 ± 17","31.98 ± 0.19","29.3 ± 1","0"
"","195 ± 40","32.02 ± 0.41","29.2 ± 1.7","0"
"","162 ± 11","32.39 ± 0.15","27.9 ± 1.7","14"
"","191 ± 21","32.1 ± 0.26","28.1 ± 2.5","7"
"","190 ± 31","32.05 ± 0.34","29.2 ± 1","100"
"","182 ± 17","32.21 ± 0.19","28.4 ± 2.5","20"
"","195 ± 13","32 ± 0.14","29.8 ± 0.8","0"
"","190 ± 14","32.07 ± 0.16","29.3 ± 1.4","0"
"","196 ± 21","32.05 ± 0.21","29 ± 2.8","0"
"","169 ± 14","32.37 ± 0.15","27 ± 1","33"
"","170 ± 26","32.3 ± 0.2","28.7 ± 1.2","0"
"","223 ± 57","31.75 ± 0.49","31 ± 1.4","0"
"","198 ± 27","32.03 ± 0.29","29.2 ± 2.1","27"
"","161 ± 8","32.38 ± 0.14","28.2 ± 2","0"
