Cluster name,n,Cocoa tree density (per ha),Shade to cocoa trees (%),# trees > 20 m high,# trees > 35 m high,# trees > 50 m high,Other short trees to cocoa (%),# tree crops,# root or grain crops,,
Fertiliser_&_High_alt,6,1137 ± 287,1.9 ± 4.5,1.9 ± 4.5,0 ± 0,0 ± 0,0 ± 0,0.2 ± 0.4,0.8 ± 0.8,,
Fertiliser_&_Low_alt,7,1165 ± 238,1.6 ± 4.2,1.6 ± 4.2,0 ± 0,0 ± 0,0 ± 0,0.1 ± 0.4,0.3 ± 0.8,,
Labour_intense_&_Fert,31,1090 ± 184,0 ± 0,0 ± 0,0 ± 0,0 ± 0,0 ± 0,0 ± 0,0.4 ± 0.6,,
Weeding_&_Waterlogged,4,975 ± 285,0 ± 0,0 ± 0,0 ± 0,0 ± 0,0 ± 0,0 ± 0,0 ± 0,,
Low density,2,900 ± 267,0 ± 0,0 ± 0,0 ± 0,0 ± 0,NA,0 ± 0,0.5 ± 0.7,,
,,,,,,,,,,,
Nutrient deficit,10,1065 ± 218,22.2 ± 0,11.1 ± 5.2,3.3 ± 5.4,7.8 ± 5.4,0 ± 0,2 ± 0,0.4 ± 0.5,,
High density,6,1359 ± 201,22.2 ± 0,13 ± 8.4,9.3 ± 8.4,0 ± 0,0 ± 0,1.5 ± 0.5,0.2 ± 0.4,,
Medium N-fert,4,953 ± 47,22.2 ± 0,11.1 ± 9.1,8.3 ± 10.6,2.8 ± 5.6,2.8 ± 5.6,2.2 ± 0.5,0.8 ± 0.5,,
Other fertiliser,8,1275 ± 163,22.2 ± 0,11.1 ± 11.9,6.9 ± 8.3,4.2 ± 5.7,1.4 ± 3.9,2 ± 0,1.1 ± 0.6,,
High N-fert,2,922 ± 79,22.2 ± 0,5.6 ± 7.9,11.1 ± 0,5.6 ± 7.9,0 ± 0,2 ± 0,0 ± 0,,
,,,,,,,,,,,
Nutrient_deficit_&_High,3,1011 ± 135,18.5 ± 12.8,14.8 ± 6.4,3.7 ± 6.4,0 ± 0,0 ± 0,1.7 ± 1.2,0.3 ± 0.6,0.8,
Nutrient_deficit_&_Low,6,1135 ± 238,16.7 ± 6.1,11.1 ± 7,5.6 ± 6.1,0 ± 0,0 ± 0,1.3 ± 0.5,0.5 ± 0.5,0.664670659,
N_fertiliser,5,1200 ± 161,17.8 ± 9.9,8.9 ± 5,6.7 ± 9.9,2.2 ± 5,0 ± 0,1.6 ± 0.9,0.6 ± 0.9,0.376404494,0.123595506
Fertiliser_Tall_canopy,12,1098 ± 238,14.8 ± 5.5,4.6 ± 5.7,3.7 ± 5.5,6.5 ± 5.7,0 ± 0,1.3 ± 0.5,0.4 ± 0.7,0.25,0.439189189
