"","N-fert (kg/ha/yr)","Non N-fert (kg/ha/yr)","Pruning (#/yr)","Weeding (#/yr)","Pollination (dummy)","Insecticide (dummy)","Fungicides (dummy)","Herbicides (dummy)"
"","0 ± 0","0 ± 0","1.5 ± 0.58","2 ± 1","0","100","100","25"
"","145.5 ± 231.9","65.9 ± 139.1","1.47 ± 0.77","2.83 ± 0.98","0","100","100","7"
"","8.6 ± 16.9","376.8 ± 797.8","1.4 ± 0.52","2.9 ± 0.97","0","90","100","0"
"","0 ± 0","0 ± 0","1.5 ± 0.71","3.5 ± 0","0","100","100","0"
"","329.5 ± 570.7","0 ± 0","1.33 ± 0.58","3.5 ± 0","0","100","100","0"
"","32.1 ± 106.7","154.4 ± 190.9","1.62 ± 1","2.92 ± 1.31","0","100","100","17"
"","148.3 ± 192.1","0 ± 0","1.2 ± 0.45","1.9 ± 0.89","0","100","100","20"
"","71.7 ± 119.8","0 ± 0","1.14 ± 0.38","2.64 ± 1.07","0","86","100","0"
"","148.3 ± 259.2","37.1 ± 117.2","1.8 ± 1.01","2.25 ± 1.4","0","100","100","0"
"","65.5 ± 134.9","108.7 ± 218.8","1.33 ± 0.5","3.5 ± 0","11","100","100","0"
"","97.2 ± 192.6","411.8 ± 838","1.33 ± 0.5","2.61 ± 1.05","22","89","100","0"
"","6.6 ± 13.6","46.3 ± 126.6","1.53 ± 0.72","3.12 ± 0.81","0","100","100","0"
"","167.5 ± 385","123.7 ± 254.2","1.28 ± 0.46","2.22 ± 1.26","6","94","100","0"
"","1081.1 ± 1923","0 ± 0","1.25 ± 0.5","3.5 ± 0","25","75","100","0"
"","0 ± 0","247.1 ± 214","1 ± 0","3.5 ± 0","0","100","100","0"
